label,ra,dec,theta,p0,kPc
J0006+1834,0.101333333333333,18.5830555555556,1.52,0.69374767047,0.70
J0023+0923,0.388025,9.39005,5.820375,0.00305,0.95
J0024-7204P,0.401575,-72.0812833333333,6.023625,0.003643021,+2.49
J0024-7204R,0.401575,-72.0812833333333,6.023625,0.003480463,+2.49
J0024-7204V,0.401575,-72.0812833333333,6.023625,0.004810,+2.49
J0024-7204W,0.401686111111111,-72.0802833333333,6.02529166666667,0.002352344,+2.49
J0024-7204X,0.401575,-72.0812833333333,6.023625,0.004771,+2.49
J0024-7204Y,0.401575,-72.0812833333333,6.023625,0.00219666,+2.49
J0024-7204Z,0.401575,-72.0812833333333,6.023625,0.004554,+2.49
J0026+6320,0.447378055555556,63.333575,6.71067083333333,0.318357731235,13.60
J0033+57,0.55,57,8.25,0.315,3.34
J0033+61,0.55,61,8.25,0.912,1.92
J0034-0721,0.569130638888889,-7.36483583333333,8.53695958333333,0.0018771818845850,0.72
J0034+69,0.566666666666667,69.7166666666667,8.5,0.03680412,3.99
J0045-7042,0.757136111111111,-70.7019722222222,11.3570416666667,0.63233580002,+2.43
J0045-7319,0.759766666666667,-73.3175,11.3965,0.92627590497,+2.55
J0051+0423,0.858361111111111,4.38027777777778,12.8754166666667,0.35473179890,0.94
J0053+69,0.883333333333333,69.65,13.25,0.832938,8.40
J0054+66,0.9,66,13.5,1.39,0.81
J0057-7201,0.962222222222222,-72.0219444444444,14.4333333333333,0.7380624426,+2.49
J0058+6125,0.966666666666667,61.4166666666667,14.5,0.637,5.81
J0059+50,0.983333333333333,50.0333333333333,14.75,0.996009,5.79
J0101-6422,1.01975452777778,-64.3750475,15.2963179166667,0.0025731519721683,0.73
J0102+4839,1.05,48,15.75,0.00296,4.03
J0103+54,1.06027777777778,54.0333333333333,15.9041666666667,0.354304,2.69
J0111-7131,1.191325,-71.5296666666667,17.869875,0.68854151164,+2.46
J0112+66,1.2,66.3666666666667,18,4.30124,5.25
J0113-7220,1.21974722222222,-72.3422777777778,18.2962083333333,0.32588301613,+2.51
J0125+62,1.43333333333333,62.5833333333333,21.5,1.708233,5.10
J0131-7310,1.52458611111111,-73.1692611111111,22.8687916666667,0.348124045581,+2.55
J0133-6957,1.55901666666667,-69.9582444444444,23.38525,0.463473741703,+2.42
J0136+63,1.6,63.7,24,0.717895,+24.03
J0137+1654,1.6233,16.9116944444444,24.3495,0.4147630265082,+2.51
J0141+63,1.68333333333333,63.1333333333333,25.25,0.04668588,21.68
J0152+0948,1.87325833333333,9.80277777777778,28.098875,2.74664729014,+2.30
J0158+21,1.97472222222222,21.1333333333333,29.6208333333333,0.5053,1.45
J0206-4028,2.10035222222222,-40.4678694444444,31.5052833333333,0.630550140847,0.88
J0211-8159,2.19972222222222,-81.9933888888889,32.9958333333333,1.0773327013,1.83
J0212+5222,2.2145,52.3791666666667,33.2175,0.376386292,1.91
J0214+5222,2.24868647222222,52.3780416666667,33.7302970833333,0.02457529479071,1.21
J0229+20,2.48416666666667,20.9666666666667,37.2625,0.8069,+2.97
J0241+16,2.69611111111111,16.0666666666667,40.4416666666667,1.5454,1.01
J0242+62,2.70972222222222,62.9472222222222,40.6458333333333,0.592,0.21
J0243+6027,2.71666666666667,60.45,40.75,1.473,6.99
J0244+14,2.7475,14.45,41.2125,2.1281,+2.73
J0255-5304,2.93228361111111,-53.0726,43.9842541666667,0.447708444058,1.15
J0308+74,3.13333333333333,74,47,0.00316,0.34
J0324+5239,3.41540555555556,52.6586944444444,51.2310833333333,0.336620230291,6.28
J0325+67,3.43333333333333,67.8166666666667,51.5,1.364741,3.49
J0329+1654,3.48570833333333,16.9005555555556,52.285625,0.893319660649,+3.35
J0332+79,3.54583333333333,79.1666666666667,53.1875,2.05621,0.93
J0338+66,3.65,66.7333333333333,54.75,1.76200,3.63
J0340+4130,3.66666666666667,41,55,0.00329,2.67
J0341+5711,3.68333333333333,57.1833333333333,55.25,1.888,4.47
J0343-3000,3.72442777777778,-30.0076388888889,55.8664166666667,2.59702715738,+2.22
J0358+42,3.96666666666667,42.1,59.5,0.2264777,2.07
J0358+66,3.96666666666667,66.6666666666667,59.5,0.09150682,3.52
J0401-7608,4.03102222222222,-76.1371666666667,60.4653333333333,0.545252742352,1.50
J0407+1607,4.1319275,16.1212222222222,61.9789125,0.02570173919463,+4.07
J0408+551,4.13333333333333,55,62,1.837,2.04
J0408+552,4.13333333333333,55,62,0.754,2.36
J0410-31,4.1775,-31.1247222222222,62.6625,1.8785,0.52
J0413+58,4.21666666666667,58,63.25,0.687,2.24
J0417+35,4.29527777777778,35.75,64.4291666666667,0.65440,2.68
J0417+61,4.28333333333333,61.1333333333333,64.25,0.440283,3.60
J0419+44,4.31666666666667,44,64.75,1.241,3.12
J0426+4933,4.43522583333333,49.5606833333333,66.5283875,0.922474730055,3.60
J0435+27,4.59277777777778,27.7333333333333,68.8916666666667,0.3262793,3.43
J0437-4715,4.62107868055556,-47.2525088508333,69.3161802083333,0.005757451924362137,0.14
J0447-04,4.78333333333333,-4.58333333333333,71.75,2.18819,2.90
J0449-7031,4.81824166666667,-70.5254722222222,72.273625,0.479163971291,+3.03
J0451-67,4.86388888888889,-67.3,72.9583333333333,0.24545429,+2.97
J0453+16,4.89388888888889,16.0166666666667,73.4083333333333,0.0458,1.81
J0455-6951,4.929875,-69.8595277777778,73.948125,0.320422711526,+3.06
J0456-69,4.94166666666667,-69.1666666666667,74.125,0.117073051,+3.05
J0456-7031,4.93402777777778,-70.5185,74.0104166666667,0.80013207321,+3.08
J0457+23,4.95166666666667,23.5666666666667,74.275,0.5049,3.89
J0457-6337,4.95216388888889,-63.6251111111111,74.2824583333333,2.49701169613,+2.94
J0457-69,4.95055555555556,-69.7666666666667,74.2583333333333,0.231390388,+3.06
J0458-0505,4.97697805555556,-5.08475,74.6546708333333,1.88347965849,+3.83
J0458-67,4.98305555555556,-67.7166666666667,74.7458333333333,1.1339000,+3.03
J0502-6617,5.04736944444444,-66.2996666666667,75.7105416666667,0.69125141818,+3.03
J0509+08,5.15666666666667,8.95,77.35,0.0041,2.58
J0510+38,5.16638888888889,38.2,77.4958333333333,0.07656440,2.74
J0511-6508,5.19902777777778,-65.1434722222222,77.9854166666667,0.322061827468,2.17
J0517+22,5.28611111111111,22.2666666666667,79.2916666666667,0.222344,1.10
J0519+44,5.31666666666667,44,79.75,0.515,2.03
J0519+54,5.33333333333333,54.4166666666667,80,0.340194,2.03
J0519-6932,5.32969916666667,-69.5398555555555,79.9454875,0.263211634568,+3.21
