label,ra,dec,theta
J0006+1834,0.101333333333333,18.5830555555556,1.52
J0007+7303,0.117138888888889,73.0520555555556,1.75708333333333
J0014+4746,0.238263888888889,47.7759444444444,3.57395833333333
J0023+0923,0.388025,9.39005,5.820375
J0024-7204C,0.397320308333333,-72.0754146111111,5.959804625
J0024-7204D,0.403855372222222,-72.0788445833333,6.05783058333333
J0024-7204E,0.403084333333333,-72.0889271388889,6.046265
J0024-7204F,0.401070527777778,-72.0785573611111,6.01605791666667
J0024-7204G,0.40221075,-72.0776919722222,6.03316125
J0024-7204H,0.4018615,-72.0685541666667,6.0279225
J0024-7204I,0.402203611111111,-72.0776858333333,6.03305416666667
J0024-7204J,0.399835375,-72.0663309444444,5.997530625
J0024-7204L,0.4010475,-72.0824758333333,6.0157125
J0024-7204M,0.398468805555556,-72.0918725,5.97703208333333
J0024-7204N,0.402551805555556,-72.0746888888889,6.03827708333333
J0024-7204O,0.401292,-72.0815986666667,6.01938
J0024-7204P,0.401575,-72.0812833333333,6.023625
J0024-7204Q,0.404580305555556,-72.0736536111111,6.06870458333333
J0024-7204R,0.401575,-72.0812833333333,6.023625
J0024-7204S,0.401104972222222,-72.0784283333333,6.01657458333333
J0024-7204T,0.402374444444444,-72.0774794444444,6.03561666666667
J0024-7204U,0.402731972222222,-72.0665766666667,6.04097958333333
J0024-7204V,0.401575,-72.0812833333333,6.023625
J0024-7204W,0.401686111111111,-72.0802833333333,6.02529166666667
J0024-7204X,0.401575,-72.0812833333333,6.023625
J0024-7204Y,0.401575,-72.0812833333333,6.023625
J0024-7204Z,0.401575,-72.0812833333333,6.023625
J0026+6320,0.447378055555556,63.333575,6.71067083333333
J0030+0451,0.507619527777778,4.86103888888889,7.61429291666667
J0033+57,0.55,57,8.25
J0033+61,0.55,61,8.25
J0034-0721,0.569130638888889,-7.36483583333333,8.53695958333333
J0034+69,0.566666666666667,69.7166666666667,8.5
J0045-7042,0.757136111111111,-70.7019722222222,11.3570416666667
J0045-7319,0.759766666666667,-73.3175,11.3965
J0051+0423,0.858361111111111,4.38027777777778,12.8754166666667
J0053+69,0.883333333333333,69.65,13.25
J0054+66,0.9,66,13.5
J0054+69,0.907777777777778,69.4333333333333,13.6166666666667
J0057-7201,0.962222222222222,-72.0219444444444,14.4333333333333
J0058+6125,0.966666666666667,61.4166666666667,14.5
J0059+50,0.983333333333333,50.0333333333333,14.75
J0100-7211,1.01195277777778,-72.1926666666667,15.1792916666667
J0101-6422,1.01975452777778,-64.3750475,15.2963179166667
J0102+4839,1.05,48,15.75
J0103+54,1.06027777777778,54.0333333333333,15.9041666666667
J0106+4855,1.10696111111111,48.9310555555556,16.6044166666667
J0108-1431,1.13565194888889,-14.5306075277778,17.0347792333333
J0111-7131,1.191325,-71.5296666666667,17.869875
J0112+66,1.2,66.3666666666667,18
J0113-7220,1.21974722222222,-72.3422777777778,18.2962083333333
J0125+62,1.43333333333333,62.5833333333333,21.5
J0131-7310,1.52458611111111,-73.1692611111111,22.8687916666667
J0133-6957,1.55901666666667,-69.9582444444444,23.38525
J0136+63,1.6,63.7,24
J0137+1654,1.6233,16.9116944444444,24.3495
J0139+5621,1.66071111111111,56.3602222222222,24.9106666666667
J0139+5814,1.65548336111111,58.2421719444444,24.8322504166667
J0141+63,1.68333333333333,63.1333333333333,25.25
J0146+6145,1.77289444444444,61.7507777777778,26.5934166666667
J0147+5922,1.79573491666667,59.3675813888889,26.93602375
J0151-0635,1.85630583333333,-6.58411111111111,27.8445875
J0152+0948,1.87325833333333,9.80277777777778,28.098875
J0152-1637,1.86968155555556,-16.6313861111111,28.0452233333333
J0158+21,1.97472222222222,21.1333333333333,29.6208333333333
J0201+7005,2.02815111111111,70.0883611111111,30.4222666666667
J0205+6449,2.09386735277778,64.8281484166667,31.4080102916667
J0206-4028,2.10035222222222,-40.4678694444444,31.5052833333333
J0211-8159,2.19972222222222,-81.9933888888889,32.9958333333333
J0212+5222,2.2145,52.3791666666667,33.2175
J0214+5222,2.24868647222222,52.3780416666667,33.7302970833333
J0218+4232,2.30176626916667,42.5381597638889,34.5264940375
J0229+20,2.48416666666667,20.9666666666667,37.2625
J0241+16,2.69611111111111,16.0666666666667,40.4416666666667
J0242+62,2.70972222222222,62.9472222222222,40.6458333333333
J0243+6027,2.71666666666667,60.45,40.75
J0244+14,2.7475,14.45,41.2125
J0248+6021,2.80517138888889,60.3596444444444,42.0775708333333
J0255-5304,2.93228361111111,-53.0726,43.9842541666667
J0304+1932,3.07586527777778,19.5476111111111,46.1379791666667
J0308+74,3.13333333333333,74,47
J0323+3944,3.39072722222222,39.7480277777778,50.8609083333333
J0324+5239,3.41540555555556,52.6586944444444,51.2310833333333
J0325+67,3.43333333333333,67.8166666666667,51.5
J0329+1654,3.48570833333333,16.9005555555556,52.285625
J0332+5434,3.54982444444444,54.5787694444444,53.2473666666667
J0332+79,3.54583333333333,79.1666666666667,53.1875
J0337+1715,3.628840525,17.2541188888889,54.432607875
J0338+66,3.65,66.7333333333333,54.75
J0340+4130,3.66666666666667,41,55
J0341+5711,3.68333333333333,57.1833333333333,55.25
J0343-3000,3.72442777777778,-30.0076388888889,55.8664166666667
J0348+0432,3.81212194444444,4.53651611111111,57.1818291666667
J0357+3205,3.96458333333333,32.0902777777778,59.46875
J0358+42,3.96666666666667,42.1,59.5
J0358+5413,3.98158791666667,54.2204797222222,59.72381875
J0358+66,3.96666666666667,66.6666666666667,59.5
J0401-7608,4.03102222222222,-76.1371666666667,60.4653333333333
J0406+6138,4.10835611111111,61.6447333333333,61.6253416666667
J0407+1607,4.1319275,16.1212222222222,61.9789125
J0408+551,4.13333333333333,55,62
J0408+552,4.13333333333333,55,62
J0410-31,4.1775,-31.1247222222222,62.6625
J0413+58,4.21666666666667,58,63.25
J0417+35,4.29527777777778,35.75,64.4291666666667
J0417+61,4.28333333333333,61.1333333333333,64.25
J0418+5732,4.3094075,57.5396972222222,64.6411125
J0419+44,4.31666666666667,44,64.75
J0420-5022,4.333875,-50.3800277777778,65.008125
J0426+4933,4.43522583333333,49.5606833333333,66.5283875
J0435+27,4.59277777777778,27.7333333333333,68.8916666666667
J0437-4715,4.62107868055556,-47.2525088508333,69.3161802083333
J0447-04,4.78333333333333,-4.58333333333333,71.75
J0449-7031,4.81824166666667,-70.5254722222222,72.273625
J0450-1248,4.8357725,-12.8019722222222,72.5365875
J0451-67,4.86388888888889,-67.3,72.9583333333333
J0452-1759,4.87614047222222,-17.9898252777778,73.1421070833333
J0453+16,4.89388888888889,16.0166666666667,73.4083333333333
J0454+5543,4.90215294444444,55.7281769444444,73.5322941666667
J0455-6951,4.929875,-69.8595277777778,73.948125
J0456-69,4.94166666666667,-69.1666666666667,74.125
J0456-7031,4.93402777777778,-70.5185,74.0104166666667
J0457+23,4.95166666666667,23.5666666666667,74.275
J0457-6337,4.95216388888889,-63.6251111111111,74.2824583333333
J0457-69,4.95055555555556,-69.7666666666667,74.2583333333333
J0458-0505,4.97697805555556,-5.08475,74.6546708333333
J0458-67,4.98305555555556,-67.7166666666667,74.7458333333333
J0501+4516,5.01854444444444,45.2760888888889,75.2781666666667
J0502+4654,5.03460027777778,46.9016916666667,75.5190041666667
J0502-6617,5.04736944444444,-66.2996666666667,75.7105416666667
J0509+08,5.15666666666667,8.95,77.35
J0510+38,5.16638888888889,38.2,77.4958333333333
J0511-6508,5.19902777777778,-65.1434722222222,77.9854166666667
J0514-4002A,5.23519241666667,-40.0469158333333,78.52788625
J0517+22,5.28611111111111,22.2666666666667,79.2916666666667
J0519+44,5.31666666666667,44,79.75
J0519+54,5.33333333333333,54.4166666666667,80
J0519-6932,5.32969916666667,-69.5398555555555,79.9454875
J0521-68,5.36222222222222,-68.5833333333333,80.4333333333333
J0522-6847,5.37307222222222,-68.7839444444444,80.5960833333333
J0525+1115,5.43234675,11.2553,81.48520125
J0525-6607,5.43358333333333,-66.07675,81.50375
J0528+2200,5.48118444444444,22.0011111111111,82.2177666666667
J0529-6652,5.49747777777778,-66.8772777777778,82.4621666666667
J0532-6639,5.54986388888889,-66.6603611111111,83.2479583333333
J0532-69,5.53444444444444,-69.7666666666667,83.0166666666667
J0533+0402,5.55717222222222,4.03347222222222,83.3575833333333
J0533+67,5.55,67,83.25
J0534+2200,5.57554805555556,22.0144611111111,83.6332208333333
J0534-6703,5.57671388888889,-67.0635555555556,83.6507083333333
J0535-66,5.59444444444444,-66.8666666666667,83.9166666666667
J0535-6935,5.58333333333333,-69.5833333333333,83.75
J0536-7543,5.60855277777778,-75.7324166666667,84.1282916666667
J0537-69,5.62861111111111,-69.35,84.4291666666667
J0537-6910,5.62983777777778,-69.1721888888889,84.4475666666667
J0538+2817,5.64029366666667,28.2858780555556,84.604405
J0540+3207,5.67697666666667,32.1270277777778,85.15465
